 aaaammgghhpp  ARGEME   ARMVAL   AVECAB   CAIROM   CAMINA   CARASC   FORNOL   IMPERU   MOLINE   MURIAL   NERV01   NEVCIS   PORTOV   SANTUA   STSGIU   VOBBIE   QUAZQU   BOLSTE   POLCAM   BISMOL   ROVEGN   SCRISO   CAMPST 
 202010020000     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00
 202010020100     0.00     0.00     0.05     0.00     0.00     0.00     0.14     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.02     0.00     0.00     0.40     0.60     0.00     0.13     0.00
 202010020200     0.00     0.00     6.11     0.00     1.07     4.13     0.44     0.00     0.17     0.00     0.00     0.00     0.00     0.00     0.00     0.15     0.00     0.00     1.84     4.27     2.51     1.15     0.00
 202010020300     0.00     0.00    47.49     0.00    18.97   104.64     2.65     0.00     0.34     0.00     0.00     0.00     0.00     0.00     0.00     0.33     0.00     0.00     2.37    15.32    27.47     2.45     0.08
 202010020400     0.00     0.00    61.23     0.00   108.53   379.84    10.91     0.00     0.47     0.00     0.00     0.00     0.00     0.00     0.00     1.84     0.00     0.00     2.64    14.32    57.03     2.35     0.23
 202010020500     0.00     0.00    54.59     0.00   173.08   489.18    20.96     0.00     0.72     0.00     0.00     0.00     0.00     0.00     0.00     3.02     0.00     0.00     3.21    12.55    65.89     7.17     0.34
 202010020600     0.00     0.00    44.43     0.00   172.48   436.88    38.92     0.00     0.99     0.00     0.00     0.00     0.00     0.00     0.00     5.21     0.00     0.00     4.35    10.98    65.89    14.46     0.62
 202010020700     0.00     0.00    46.15     0.00   129.54   306.03    64.26     0.00     4.03     0.00     0.00     0.00     0.00     0.00     0.00    11.98     0.00     0.00     9.62    17.49    78.05    24.90     1.18
 202010020800     0.12     0.09   105.25     0.00    86.25   295.35   113.94     0.00     8.40     0.00     1.17     0.08     0.00     0.18     0.00    25.43     0.00     2.14    33.61    50.47   173.88    42.11     9.76
 202010020900     2.55     0.90   145.78     1.92    48.31   430.62   313.31     0.04     9.09     0.03     4.14     0.08     0.60     0.04     0.00    34.08     0.00     2.75    43.86    69.72   334.37    64.34    26.84
 202010021000     3.91     0.72   116.55     6.41    27.12   535.92   669.94     0.10     8.43     0.37     5.69     0.16     1.54     0.00     0.00    33.27     0.00     1.04    39.24    65.18   393.22    99.98    28.01
 202010021100     4.76     0.21    76.73     3.32    18.16   466.53   744.33     0.47     9.11     0.47     3.10     0.65     0.73     0.10     0.00    26.91     0.00     0.99    32.42    41.45   307.95   137.43    25.60
 202010021200     2.84     0.34    51.47     1.74    13.84   301.00   612.87     0.45     9.75     0.24     0.74     0.21     0.35     0.13     0.00    20.30     0.00     1.10    28.93    24.91   226.45   172.68    28.31
 202010021300     1.35     0.21    32.15     2.64    11.92   173.34   475.94     0.45    10.04     0.58     0.20     0.89     1.18     0.06     0.00    17.64     0.00     0.63    30.48    18.69   168.29   153.42    34.99
 202010021400     0.08     0.24    22.61     1.64    11.17   117.32   371.86     0.11     9.25     0.28     0.54     1.97     3.28     0.06     0.00    16.77     0.00     0.56    33.07    16.91   118.79   120.26    30.21
 202010021500     4.97     0.04    20.05     1.19    11.25    96.94   312.83     0.00     8.25     0.07     1.06     4.06     4.77     0.06     0.00    16.51     0.00     0.65    32.51    16.39   102.59    95.37    24.20
