 aaaammgghhpp  ARGEME   ARMVAL   AVECAB   CAIROM   CAMINA   CARASC   FORNOL   IMPERU   MOLINE   MURIAL   NERV01   NEVCIS   PORTOV   SANTUA   STSGIU   VOBBIE   QUAZQU   BOLSTE   POLCAM   BISMOL   ROVEGN   SCRISO   CAMPST 
 202010010000     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00
 202010010100     0.00     0.00     0.00     0.00     0.00     0.00     0.05     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.01     0.06     0.00     0.00     0.00
 202010010200     0.00     0.00     0.00     0.00     0.00     0.00     0.09     0.00     0.15     0.00     0.00     0.00     0.00     0.00     0.00     0.03     0.00     0.00     0.20     0.08     0.00     0.12     0.00
 202010010300     0.00     0.00     0.03     0.00     0.00     0.00     0.13     0.00     0.32     0.00     0.00     0.00     0.00     0.00     0.00     0.10     0.00     0.00     0.55     0.12     0.04     0.56     0.00
 202010010400     0.00     0.00     0.08     0.00     0.00     0.04     0.20     0.00     0.47     0.00     0.00     0.00     0.00     0.00     0.00     0.10     0.00     0.00     1.07     0.14     0.08     1.22     0.03
 202010010500     0.00     0.00     0.26     0.00     0.00     0.12     0.34     0.00     0.72     0.00     0.00     0.00     0.00     0.00     0.00     0.55     0.00     0.00     1.62     0.44     0.39     1.55     0.17
 202010010600     0.00     0.00     0.46     0.00     0.00     0.18     0.45     0.00     0.97     0.00     0.00     0.00     0.00     0.00     0.00     1.70     0.00     0.00     2.29     0.69     0.95     2.13     0.41
 202010010700     0.00     0.00     0.82     0.00     0.00     0.39     0.63     0.00     1.26     0.00     0.00     0.00     0.00     0.00     0.00     2.34     0.00     0.00     2.88     1.02     2.66     3.53     0.62
 202010010800     0.00     0.00     0.98     0.00     0.03     0.58     0.79     0.00     1.51     0.00     0.00     0.00     0.00     0.00     0.00     2.92     0.00     0.00     3.46     1.41     3.80     5.88     0.86
 202010010900     0.00     0.00     1.49     0.00     0.11     0.92     0.93     0.00     1.61     0.00     0.00     0.00     0.00     0.00     0.00     4.12     0.00     0.00     4.11     1.74     5.42     7.95     1.03
 202010011000     0.00     0.00     1.75     0.00     0.19     1.18     1.07     0.00     1.72     0.00     0.00     0.00     0.00     0.00     0.00     5.04     0.00     0.00     4.50     2.02     6.41    10.01     1.35
 202010011100     0.00     0.00     1.90     0.00     0.28     1.38     1.11     0.00     1.98     0.00     0.00     0.00     0.00     0.00     0.00     5.85     0.00     0.00     4.95     2.41     7.69    11.59     1.59
 202010011200     0.00     0.00     2.20     0.00     0.28     1.54     1.15     0.00     2.17     0.00     0.00     0.00     0.00     0.00     0.00     6.45     0.00     0.00     5.33     2.78     9.00    13.56     1.82
 202010011300     0.00     0.00     2.47     0.00     0.28     1.77     1.18     0.00     2.27     0.00     0.00     0.00     0.00     0.00     0.00     6.79     0.00     0.00     5.69     2.90    10.43    15.64     1.91
 202010011400     0.00     0.00     2.67     0.00     0.32     1.94     1.26     0.00     2.39     0.00     0.00     0.00     0.00     0.00     0.00     7.03     0.00     0.00     5.96     3.06    11.37    17.19     1.95
 202010011500     0.00     0.00     2.81     0.00     0.34     2.20     1.36     0.00     2.42     0.00     0.00     0.00     0.00     0.00     0.00     7.13     0.00     0.00     6.12     3.21    11.93    18.30     2.04
 202010011600     0.00     0.00     2.91     0.00     0.39     2.37     1.48     0.00     2.45     0.00     0.00     0.00     0.00     0.00     0.00     7.16     0.00     0.00     6.31     3.35    12.49    19.09     2.10
 202010011700     0.00     0.00     2.97     0.00     0.39     2.52     1.59     0.00     2.52     0.00     0.00     0.00     0.00     0.00     0.00     7.32     0.00     0.00     6.58     3.51    12.85    19.80     2.17
 202010011800     0.00     0.00     3.04     0.00     0.46     3.03     1.60     0.00     2.56     0.00     0.00     0.00     0.00     0.00     0.00     7.40     0.00     0.00     6.66     3.68    13.29    20.26     2.26
 202010011900     1.13     0.92     3.19     0.00     0.68     4.60     1.65     0.08     2.55     0.00     0.00     0.00     0.00     0.00     0.00     7.46     0.00     0.00     7.54     5.10    13.72    20.85     2.33
 202010012000     1.88     1.34     5.37     0.00     0.97     6.85     1.69     0.58     2.57     0.00     0.00     0.00     0.00     0.00     0.00     8.29     0.00     0.00    10.15     5.33    14.70    22.43     2.47
 202010012100     2.14     0.33    11.10     0.00     1.22    10.97     1.72     1.08     2.54     0.00     0.00     0.00     0.00     0.00     0.00    14.21     0.00     0.00    17.88     7.79    27.92    28.00     2.51
 202010012200     1.66     0.69    11.73     0.00     1.24    19.17     3.41     0.69     2.54     0.00     0.00     0.00     0.00     0.00     0.00    25.93     0.00     0.00    27.70     9.65    48.91    39.67     2.72
 202010012300     1.08     0.35    14.51     0.00     1.32    28.62     5.68     0.08     2.53     0.00     0.00     0.00     0.00     0.00     0.00    31.66     0.00     0.07    21.96    19.07    93.96    59.29     2.82
 202010020000     0.00     0.38    17.04     0.00     1.61    32.66     9.28     0.00     2.67     0.00     0.00     0.00     0.00     0.00     0.00    29.12     0.00     0.11    25.08    19.23   134.95    65.78     3.26
 202010020100     0.00     0.00    19.37     0.00     3.50    42.06    14.42     0.00     2.91     0.00     0.00     0.00     0.00     0.00     0.00    36.73     0.00     0.11    26.96    23.06   150.48    93.91     3.84
 202010020200     0.00     0.00    35.13     0.00    12.97    65.05    17.53     0.00     2.98     0.00     0.00     0.00     0.00     0.00     0.00    35.21     0.00     0.10    35.30    48.20   177.65   126.18     4.13
 202010020300     0.00     0.00    87.00     0.00    33.10   205.01    31.60     0.00     2.77     0.00     0.00     0.00     0.00     0.00     0.00    29.95     0.00     0.14    29.40    57.47   219.04   135.63     4.17
 202010020400     0.00     0.00   101.00     0.00   119.58   501.30    40.65     0.00     2.63     0.00     0.00     0.00     0.00     0.00     0.00    22.72     0.00     0.15    23.57    40.71   223.12   142.97     4.17
 202010020500     0.00     0.00    87.23     0.00   175.93   591.11    54.38     0.00     2.58     0.00     0.01     0.00     0.00     0.00     0.00    17.40     0.00     0.15    20.84    25.03   180.17   133.78     4.15
 202010020600     0.00     0.00    63.54     0.00   170.82   503.07    77.04     0.00     2.65     0.00     0.01     0.00     0.00     0.00     0.00    15.51     0.00     0.28    19.26    16.52   138.39   117.21     4.06
 202010020700     0.00     0.03    59.24     0.00   125.89   344.75   104.29     0.00     8.92     0.00     0.04     0.00     0.00     0.00     0.00    21.23     0.00     0.67    24.57    21.05   126.39   101.16     5.19
 202010020800     0.17     0.18   115.59     0.00    83.62   323.16   153.06     0.00    14.83     0.00     1.52     0.09     0.00     0.16     0.00    38.99     0.00     4.03    68.86    57.65   214.39   105.56    23.58
 202010020900     5.09     2.30   152.67     1.92    47.47   451.34   340.12     0.10    12.98     0.02     4.77     0.08     0.63     0.01     0.00    52.30     0.00     2.39    84.71    75.53   373.86   122.98    40.21
 202010021000     8.07     1.30   119.12     6.36    27.02   549.21   678.07     0.20    10.23     0.31     6.31     0.18     1.61     0.00     0.00    51.46     0.00     1.02    70.08    65.73   426.34   156.80    29.48
 202010021100     8.66     0.40    78.41     3.28    18.00   472.24   738.39     0.79     9.31     0.41     3.44     0.68     0.78     0.14     0.00    37.22     0.00     1.10    50.38    41.19   333.04   198.49    25.32
 202010021200     4.90     0.63    52.31     1.72    13.92   299.56   604.22     0.74     9.51     0.15     0.81     0.20     0.47     0.14     0.00    24.33     0.00     1.13    41.28    24.71   241.39   225.60    28.62
 202010021300     1.98     0.30    32.27     2.61    11.88   173.89   473.44     0.77     9.29     0.45     0.22     0.94     1.29     0.06     0.00    18.29     0.00     0.77    38.86    18.38   176.52   185.67    34.82
 202010021400     0.12     0.30    22.74     1.63    11.18   118.41   370.67     0.28     8.08     0.25     0.62     1.91     3.44     0.05     0.00    16.79     0.00     0.72    38.29    16.59   123.54   136.59    27.73
 202010021500     5.59     0.06    20.09     1.18    11.34    98.65   317.46     0.13     6.83     0.04     1.13     4.06     4.87     0.05     0.00    16.37     0.00     0.81    35.55    16.17   104.59   101.88    21.61
 202010021600    13.91     0.11    17.71     0.96    11.61    92.17   279.13     0.14     6.90     0.02     2.78     4.11    22.90     0.06     0.00    17.64     0.00     0.87    40.45    18.00    88.39    89.03    19.99
 202010021700    24.52     0.18    17.82     1.02    11.06    89.07   256.34     0.18    14.35     0.05     4.56     3.28    39.08     0.07     0.00    24.97     0.00     1.15    53.02    30.28    75.90    88.30    32.28
 202010021800    44.62     0.77    20.89     1.12    10.64    90.97   263.17     0.32    19.00     0.13     3.31     3.34    61.55     0.07     0.00    36.41     0.00     1.05    78.79    34.36    83.19    96.30    63.83
 202010021900    72.20     3.73    18.19     2.75    10.39   100.50   300.02     0.60    14.76     1.74     7.17     5.69   111.54     0.22     0.00    34.40     0.00     2.47    76.67    28.96    80.44   114.59    54.35
 202010022000   150.61     5.15    16.55     6.14    10.11    99.51   335.16     0.93    14.49     5.97    23.82    10.64   174.18     0.55     0.00    27.40     0.00     4.31    66.98    22.55    68.95   135.79    57.98
 202010022100   264.31     4.87    16.22     9.19     9.94    90.91   351.76     1.31    15.42    10.74    54.99    18.16   263.88     0.61     0.02    22.38     0.00     6.41    56.31    19.43    65.66   134.75    82.11
 202010022200   403.64    12.96    16.39    12.06     9.98    88.31   339.59     2.99    15.82    20.62   123.22    30.84   418.38     0.65     0.28    19.90     0.00     7.45    53.66    19.29    61.75   112.38    96.15
 202010022300   586.06    68.51    16.24    14.38     9.75    90.14   331.67     7.63    12.25    42.08   215.08    49.76   521.43     1.13     0.50    19.86     0.00     6.51    52.62    18.49    60.07    96.91    74.43
 202010030000   796.73   106.59    16.65    21.40     9.49    89.68   332.41    17.59     9.62    75.23   257.31    99.66   652.25     1.60     0.74    20.00     0.02     5.90    48.05    17.28    63.57    87.48    50.53
