 aaaammgghhpp  ERRCAR   AVESAL   TREVAL   TANAPN 
 202010010000     0.00     0.00     0.00     0.00
 202010010100     0.00     0.00     0.00     0.00
 202010010200     0.00     0.00     0.00     0.00
 202010010300     0.00     0.00     0.00     0.00
 202010010400     0.00     0.03     0.06     0.00
 202010010500     0.00     0.44     0.74     0.00
 202010010600     0.01     1.47     1.80     0.00
 202010010700     0.01     3.31     3.24     0.00
 202010010800     0.01     5.46     5.72     0.00
 202010010900     0.02     7.48     7.79     0.00
 202010011000     0.02     9.97    10.47     0.00
 202010011100     0.02    12.22    13.04     0.00
 202010011200     0.02    13.94    15.23     0.00
 202010011300     0.02    15.46    17.09     0.00
 202010011400     0.02    16.39    18.76     0.00
 202010011500     0.02    17.27    20.26     0.00
 202010011600     0.02    17.99    21.13     0.00
 202010011700     0.02    18.68    21.84     0.00
 202010011800     0.02    19.44    22.45     0.00
 202010011900     0.02    19.87    23.04     0.00
 202010012000     0.02    21.33    24.11     0.00
 202010012100     0.02    31.05    31.60     0.00
 202010012200     0.01    62.32    60.13     0.00
 202010012300     0.01   106.60   109.95     0.00
 202010020000     0.01   111.89   173.87     0.00
 202010020100     0.01   133.57   223.06     0.00
 202010020200     0.01   160.18   251.14     0.00
 202010020300     0.01   221.57   303.01     0.00
 202010020400     0.01   373.31   345.73     0.00
 202010020500     0.01   563.44   343.02     0.00
 202010020600     0.01   613.82   287.88     0.00
 202010020700     0.01   537.75   232.93     0.00
 202010020800     0.10   471.01   262.04     0.00
 202010020900     0.90   486.92   409.21     0.00
 202010021000     1.43   536.30   580.30     0.00
 202010021100     1.03   533.81   631.01     0.00
 202010021200     0.72   427.38   516.75     0.02
 202010021300     0.65   296.48   394.44     0.02
 202010021400     0.41   202.23   303.56     0.06
 202010021500     0.31   149.69   225.09     0.02
 202010021600     0.29   118.71   173.14     2.12
 202010021700     0.33   101.08   144.73     8.01
 202010021800     0.66    92.05   136.08    40.93
 202010021900     0.77    85.45   132.99   130.29
 202010022000     2.05    82.03   130.20   298.16
 202010022100     4.71    79.97   129.26   475.34
 202010022200     9.84    80.41   134.58   531.42
 202010022300    18.41    85.94   136.36   646.16
 202010030000    25.71    85.05   129.85   753.31
 202010030100    38.71    80.61   119.62   646.68
 202010030200    65.33    80.79   116.55   392.49
 202010030300    88.76    95.06   146.02   219.52
 202010030400    99.67   140.45   238.35   156.74
 202010030500    89.40   214.32   346.63   151.81
 202010030600    75.71   275.29   374.68   130.06
 202010030700    65.96   292.83   348.32    85.79
 202010030800    52.59   274.40   305.20    43.56
 202010030900    33.38   210.93   229.71    16.19
 202010031000    19.86   128.79   142.49     6.41
 202010031100    11.78    69.85    84.09     2.73
 202010031200     7.03    31.13    46.48     1.02
 202010031300     3.66    13.22    21.03     0.19
 202010031400     1.64     4.15     9.84     0.00
 202010031500     0.87     0.99     6.17     0.00
 202010031600     0.37     0.16     2.70     0.00
 202010031700     0.15     0.00     1.70     0.00
 202010031800     0.00     0.00     0.82     0.00
 202010031900     0.02     0.00     0.12     0.00
 202010032000     0.05     0.00     0.00     0.00
 202010032100     0.00     0.00     0.00     0.00
