 aaaammgghhpp  ARGEME   ARMVAL   AVECAB   CAIROM   CAMINA   CARASC   FORNOL   IMPERU   MOLINE   MURIAL   NERV01   NEVCIS   PORTOV   SANTUA   STSGIU   VOBBIE   QUAZQU   BOLSTE   POLCAM   BISMOL   ROVEGN   SCRISO   CAMPST 
 202009300000     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00
 202009300100     0.00     0.00     0.00     0.00     0.00     0.00     0.06     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.01     0.06     0.00     0.00     0.00
 202009300200     0.00     0.00     0.00     0.00     0.00     0.00     0.11     0.00     0.15     0.00     0.00     0.00     0.00     0.00     0.00     0.03     0.00     0.00     0.22     0.08     0.00     0.13     0.00
 202009300300     0.00     0.00     0.03     0.00     0.00     0.01     0.14     0.00     0.33     0.00     0.00     0.00     0.00     0.00     0.00     0.10     0.00     0.00     0.60     0.12     0.04     0.57     0.00
 202009300400     0.00     0.00     0.08     0.00     0.00     0.05     0.24     0.00     0.49     0.00     0.00     0.00     0.00     0.00     0.00     0.11     0.00     0.00     1.15     0.17     0.08     1.24     0.03
 202009300500     0.00     0.00     0.26     0.00     0.00     0.13     0.43     0.00     0.74     0.00     0.00     0.00     0.00     0.00     0.00     0.56     0.00     0.00     1.75     0.50     0.39     1.58     0.21
 202009300600     0.00     0.00     0.46     0.00     0.00     0.29     0.58     0.00     1.02     0.00     0.00     0.00     0.00     0.00     0.00     1.71     0.00     0.00     2.43     0.78     0.96     2.15     0.47
 202009300700     0.00     0.00     0.82     0.00     0.03     0.49     0.81     0.00     1.35     0.00     0.00     0.00     0.00     0.00     0.00     2.34     0.00     0.00     3.11     1.41     2.69     3.56     0.75
 202009300800     0.00     0.00     0.98     0.00     0.14     0.84     1.00     0.00     1.57     0.00     0.00     0.00     0.00     0.00     0.00     2.93     0.00     0.00     3.67     1.81     3.81     5.94     1.03
 202009300900     0.00     0.00     1.49     0.00     0.26     1.29     1.21     0.00     1.74     0.00     0.00     0.00     0.00     0.00     0.00     4.12     0.00     0.00     4.31     2.15     5.46     8.10     1.19
 202009301000     0.00     0.00     1.75     0.00     0.32     1.56     1.34     0.00     2.07     0.00     0.00     0.00     0.00     0.00     0.00     5.05     0.00     0.00     4.74     2.58     6.43    10.15     1.64
 202009301100     0.00     0.00     1.91     0.00     0.33     1.85     1.39     0.00     2.18     0.00     0.00     0.00     0.00     0.00     0.00     5.86     0.00     0.00     5.25     2.85     7.74    11.95     1.82
 202009301200     0.00     0.00     2.21     0.00     0.40     2.12     1.58     0.00     2.35     0.00     0.00     0.00     0.00     0.00     0.00     6.47     0.00     0.00     5.75     3.13     9.10    13.93     1.96
 202009301300     0.00     0.00     2.48     0.00     0.40     2.40     1.81     0.00     2.45     0.00     0.00     0.00     0.00     0.00     0.00     6.82     0.00     0.00     6.16     3.34    10.49    16.01     2.10
 202009301400     0.00     0.00     2.69     0.00     0.42     2.68     1.91     0.00     2.56     0.00     0.00     0.00     0.00     0.00     0.00     7.03     0.00     0.00     6.41     3.53    11.42    17.44     2.20
 202009301500     0.00     0.00     2.85     0.00     0.48     3.07     2.05     0.00     2.61     0.00     0.00     0.00     0.00     0.00     0.00     7.14     0.00     0.00     6.75     3.64    11.98    18.54     2.36
 202009301600     0.00     0.00     2.94     0.00     0.54     3.36     2.19     0.00     2.65     0.00     0.00     0.00     0.00     0.00     0.00     7.18     0.00     0.00     6.89     3.87    12.55    19.45     2.46
 202009301700     0.00     0.00     2.98     0.00     0.57     3.57     2.23     0.00     2.68     0.00     0.00     0.00     0.00     0.00     0.00     7.33     0.00     0.00     7.05     4.04    12.96    20.21     2.55
 202009301800     0.00     0.00     3.05     0.00     0.62     3.87     2.23     0.00     2.67     0.00     0.00     0.00     0.00     0.00     0.00     7.42     0.00     0.00     7.36     4.15    13.41    20.66     2.67
 202009301900     0.00     0.00     3.18     0.00     0.62     4.16     2.37     0.00     2.68     0.00     0.00     0.00     0.00     0.00     0.00     7.47     0.00     0.00     7.53     4.21    13.79    21.34     2.77
