a1sDateVet a1dLivOssMean a1dQOssMean a1dLivOssMax a1dQOssMax flagSdD
202009300000 0.81 -9999 0.87 -9999 -9999
202009300100 0.75 -9999 0.76 -9999 -9999
202009300200 0.73 -9999 0.74 -9999 -9999
202009300300 0.72 -9999 0.72 -9999 -9999
202009300400 0.72 -9999 0.72 -9999 -9999
202009300500 0.72 -9999 0.72 -9999 -9999
202009300600 0.72 -9999 0.72 -9999 -9999
202009300700 0.72 -9999 0.72 -9999 -9999
202009300800 0.77 -9999 0.84 -9999 -9999
202009300900 0.87 -9999 0.88 -9999 -9999
202009301000 0.88 -9999 0.88 -9999 -9999
202009301100 0.88 -9999 0.89 -9999 -9999
202009301200 0.89 -9999 0.89 -9999 -9999
202009301300 0.89 -9999 0.9 -9999 -9999
202009301400 0.89 -9999 0.9 -9999 -9999
202009301500 0.89 -9999 0.89 -9999 -9999
202009301600 0.89 -9999 0.89 -9999 -9999
202009301700 0.89 -9999 0.89 -9999 -9999
202009301800 0.89 -9999 0.9 -9999 -9999
202009301900 0.89 -9999 0.9 -9999 -9999
202009302000 0.89 -9999 0.89 -9999 -9999
202009302100 0.89 -9999 0.89 -9999 -9999
202009302200 0.88 -9999 0.88 -9999 -9999
202009302300 0.87 -9999 0.88 -9999 -9999
202010010000 0.85 -9999 0.87 -9999 -9999
202010010100 0.83 -9999 0.84 -9999 -9999
202010010200 0.81 -9999 0.82 -9999 -9999
202010010300 0.81 -9999 0.81 -9999 -9999
202010010400 0.77 -9999 0.81 -9999 -9999
202010010500 0.71 -9999 0.72 -9999 -9999
202010010600 0.72 -9999 0.72 -9999 -9999
202010010700 0.72 -9999 0.72 -9999 -9999
202010010800 0.8 -9999 0.88 -9999 -9999
202010010900 0.89 -9999 0.89 -9999 -9999
202010011000 0.89 -9999 0.89 -9999 -9999
202010011100 0.89 -9999 0.89 -9999 -9999
202010011200 0.89 -9999 0.89 -9999 -9999
202010011300 0.89 -9999 0.89 -9999 -9999
202010011400 0.89 -9999 0.89 -9999 -9999
202010011500 0.89 -9999 0.89 -9999 -9999
202010011600 0.89 -9999 0.89 -9999 -9999
202010011700 0.88 -9999 0.89 -9999 -9999
202010011800 0.88 -9999 0.9 -9999 -9999
202010011900 0.91 -9999 0.92 -9999 -9999
202010012000 0.91 -9999 0.92 -9999 -9999
202010012100 0.91 -9999 0.92 -9999 -9999
202010012200 0.9 -9999 0.91 -9999 -9999
202010012300 0.95 -9999 1.08 -9999 -9999
202010020000 1.04 -9999 1.05 -9999 -9999
202010020100 1.04 -9999 1.06 -9999 -9999
202010020200 1.1 -9999 1.2 -9999 -9999
202010020300 1.53 42.68 2.13 93.43 4
202010020400 2.32 111.62 2.44 123.63 4
202010020500 2.34 113.59 2.45 124.65 4
202010020600 2.15 95.29 2.39 118.57 4
202010020700 1.94 76.26 2.01 82.47 4
202010020800 1.95 77.14 2.11 91.57 4
202010020900 2.12 92.5 2.18 98.12 4
202010021000 1.98 79.79 2.08 88.81 4
202010021100 1.82 65.94 1.91 73.64 4
202010021200 1.71 56.84 1.77 61.76 4
202010021300 1.64 51.22 1.68 54.41 4
202010021400 1.57 45.74 1.6 48.07 4
202010021500 1.51 41.16 1.55 44.2 4
202010021600 1.47 38.16 1.5 40.4 4
202010021700 1.44 35.94 1.47 38.16 4
202010021800 1.4 33.02 1.42 34.47 4
202010021900 1.37 30.86 1.4 33.02 4
202010022000 1.32 27.31 1.35 29.43 4
202010022100 1.29 -9999 1.31 26.61 -9999
202010022200 1.25 -9999 1.27 -9999 -9999
202010022300 1.23 -9999 1.24 -9999 -9999
