 aaaammgghhpp  AULE00   BOVARA   MAGR01   STUVIG   ARGCAP   GATTOR   LICTAV   BAGNON   PTEGLI   SCRI01   BRUDIG 
 202010020000     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00
 202010020100     0.00     0.13     0.42     0.00     0.00     0.70     0.06     0.01     0.00     0.13     0.41
 202010020200     0.18     0.75     3.42     4.06     0.00     3.90     0.25     0.04     0.00     0.30     2.48
 202010020300     0.86     4.98     8.61    69.69     0.00     6.46     0.62     0.12     0.48     4.56     6.18
 202010020400     0.87    16.83    12.21   206.76     0.00     6.39     1.45     0.10     0.83    10.10     9.25
 202010020500     1.33    49.80    16.83   236.03     0.00     4.88     1.85     0.05     1.67    14.21    10.47
 202010020600     2.25   177.21    30.11   189.78     0.00     4.33     1.33     0.06     2.85    17.41    12.63
 202010020700     2.32   501.65    37.35   138.43     0.00    16.12     1.49     0.16     4.26    28.74    20.96
 202010020800     2.71   629.12    40.39   150.72     0.07    75.07     1.16     0.14     6.56    65.98    50.20
 202010020900     2.62   512.98    47.50   171.13     1.67    94.70     1.27     0.12     7.99   109.23    90.28
 202010021000     2.60   366.72    57.19   145.10     1.03    64.63     1.13     0.10    11.32   145.69    79.88
 202010021100     2.62   249.12    62.48   103.07     0.46    36.92     0.92     0.17    12.48   127.58    61.44
 202010021200     2.36   184.22    71.30    64.60     0.02    20.72     0.91     0.09    14.27    94.65    35.62
 202010021300     2.22   133.87    76.66    43.30     0.65    15.25     0.93     0.07    15.70    69.87    21.52
 202010021400     2.21   105.61    81.71    35.90    11.44    14.37     0.90     0.06    13.88    57.14    17.33
 202010021500     2.31    92.74   109.55    33.64    12.36    14.79     0.89     0.07    22.40    48.59    15.80
 202010021600     2.39    89.03   138.23    32.58    32.06    16.36     1.00     0.06    24.06    45.73    13.80
 202010021700     2.49    97.55   148.01    30.94    41.13    23.28     1.20     0.09    21.73    62.08    17.58
 202010021800     2.60   121.05   155.04    30.42    78.80    26.22     1.42     0.12    20.35    87.44    19.79
 202010021900     2.62   106.11   153.57    29.06   137.18    21.78     1.16     0.16    16.63    88.05    16.76
 202010022000     2.46   101.00   149.88    27.87   234.53    19.19     1.09     0.23    17.18    70.00    13.42
 202010022100     2.33   109.53   130.83    27.91   277.20    20.70     1.04     0.21    14.80    56.65    10.14
 202010022200     2.26   108.08   117.06    30.04   326.91    22.60     1.00     0.26    14.80    49.61    10.22
 202010022300     2.24   101.90   118.04    30.18   415.67    21.28     0.98     0.29    16.29    47.32    10.98
 202010030000     2.19   102.19   109.72    28.79   409.30    19.73     1.00     0.27    14.78    46.51    10.68
 202010030100     2.19    98.71   106.47    28.40   271.02    18.80     0.97     0.27    15.10    45.26    10.67
 202010030200     2.22    95.63   109.29    28.62   128.62    23.29     0.97     0.28    14.59    49.24    18.73
 202010030300     2.25    97.21   129.16    40.99    71.12    48.61     1.05     0.32    18.57    92.17    39.69
 202010030400     2.73   110.53   163.11    88.72    83.15    64.88     2.71     0.77    23.32   147.20    45.67
 202010030500     5.24   146.61   224.10   117.87    85.75    56.97     3.02     1.32    37.96   148.39    45.87
 202010030600     9.64   211.45   241.42   137.51    61.02    70.13     7.19     1.05    36.42   155.16    45.33
 202010030700    16.62   285.61   245.66   159.62    38.47    98.26     7.47     2.20    46.19   197.13    49.43
 202010030800    22.77   307.65   255.12   152.99    28.39    96.20    11.12     2.89    43.32   227.22    53.28
 202010030900    34.12   325.82   235.24   136.97    25.45    78.95    12.29     3.26    38.11   213.21    52.26
 202010031000    40.19   313.77   199.57   121.19    24.36    49.44    13.55     3.05    28.79   163.30    37.73
 202010031100    40.53   276.09   155.91    92.55    23.80    29.80    11.77     2.94    21.56   110.39    23.63
 202010031200    33.54   227.48   123.01    63.48    23.31    21.60     9.11     3.02    17.35    76.87    13.86
 202010031300    26.73   184.21    95.42    45.02    22.82    19.45     7.49     2.83    14.48    57.55     9.18
 202010031400    23.41   148.00    77.99    35.45    22.35    18.93     5.36     2.72    13.05    48.17     8.11
 202010031500    20.16   120.73    69.40    31.02    21.89    18.61     4.89     2.66    12.24    42.98     7.72
 202010031600    19.54   105.09    65.05    29.41    21.44    18.29     4.51     2.75    11.90    40.34     7.54
 202010031700    18.86    96.84    62.83    28.49    21.00    17.97     4.52     2.75    11.65    39.04     7.38
 202010031800    18.58    91.94    61.47    27.86    20.57    17.67     4.55     2.76    11.45    38.22     7.24
 202010031900    18.25    89.16    60.36    27.41    20.14    17.42     4.61     2.91    11.26    37.46     7.20
 202010032000    18.59    87.79    59.96    27.11    19.74    17.30     4.85     3.44    11.33    37.15     7.29
 202010032100    22.12    89.05    66.70    27.50    19.42    17.59     6.63     4.28    13.96    37.96     7.26
 202010032200    29.00    93.63    77.18    27.73    18.95    16.97    10.06     5.66    15.66    37.56     7.11
 202010032300    43.84   102.87   101.18    26.92    18.54    16.53    16.24     8.36    26.03    36.00     6.86
 202010040000    69.24   104.22    99.40    26.15    18.16    16.17    23.44     9.10    22.74    34.70     6.66
 202010040100    89.92    99.73    81.39    25.45    17.79    15.83    26.81     5.95    18.33    33.77     6.46
 202010040200    87.45    92.23    69.00    25.14    17.44    15.54    20.90     5.44    13.78    32.94     6.29
 202010040300    77.49    85.70    62.20    24.60    17.11    15.29    15.50     5.12    12.06    32.19     6.14
 202010040400    56.45    81.67    58.69    24.44    16.79    15.34    11.20     5.06    11.37    31.51     6.23
 202010040500    48.24    79.19    58.22    25.86    16.56    16.06    10.34     4.96    11.04    31.70     6.49
 202010040600    44.87    77.49    58.70    28.32    16.20    15.84     9.80     4.90    10.99    31.48     6.44
 202010040700    43.39    77.46    59.16    26.22    15.90    14.94     9.92     4.90    11.06    30.65     6.22
 202010040800    42.95    78.58    58.72    24.58    15.62    14.39     9.88     4.89    10.79    29.68     5.94
 202010040900    41.74    76.91    56.51    23.38    15.35    14.10     9.68     4.86    10.41    28.97     5.67
 202010041000    39.63    74.70    54.65    22.44    15.08    13.83     9.64     4.88    10.26    28.35     5.49
 202010041100    38.86    73.30    59.42    22.31    14.82    13.64     9.70     5.09    11.33    27.77     5.36
 202010041200    39.17    79.51    75.16    26.14    14.57    13.50    10.38     5.52    14.75    27.22     5.33
 202010041300    41.63    93.36    90.68    30.23    17.89    14.28    11.25     6.15    16.54    27.63     9.46
 202010041400    49.59    97.54    81.73    26.94    32.16    18.71    12.96     5.14    14.28    41.84    12.75
 202010041500    56.77   101.17    66.74    26.59    31.91    23.57    10.97     5.33    12.42    51.04    14.33
 202010041600    47.48    93.72    64.87    35.49    22.99    27.46    11.19     5.90    14.11    54.42    15.88
 202010041700    48.33    94.26    77.41    43.69    17.35    32.94    13.36     8.84    16.41    61.85    15.93
 202010041800    56.85   100.93    88.29    37.62    12.50    27.40    16.54    10.21    16.35    65.25    11.97
