 aaaammgghhpp  ERRCAR   AVESAL   TREVAL   TANAPN 
 202010030000     0.00     0.00     0.00     0.00
 202010030100     0.01     0.00     0.00     0.00
 202010030200     2.13     0.00     0.00     0.00
 202010030300     4.51     0.44     1.06     0.00
 202010030400     7.12     3.27    16.06     0.60
 202010030500    10.68    17.07    41.89     5.11
 202010030600    14.46    40.79    61.11     9.63
 202010030700    17.91    71.71    97.43    11.76
 202010030800    20.11   119.00   147.07    12.65
 202010030900    21.71   155.64   185.37    13.35
 202010031000    23.58   172.96   203.77    14.66
 202010031100    24.65   177.68   197.41    16.09
 202010031200    25.76   153.06   165.02    16.88
 202010031300    26.46   115.61   127.63    17.41
 202010031400    26.44    91.91    99.54    17.64
 202010031500    26.48    74.21    82.54    17.64
 202010031600    26.58    65.74    74.58    17.61
 202010031700    26.69    61.62    70.74    17.52
 202010031800    26.83    59.42    68.05    17.33
 202010031900    26.86    58.21    65.87    17.18
 202010032000    26.84    57.33    64.46    17.02
 202010032100    26.63    57.02    63.79    17.10
 202010032200    26.47    57.25    63.19    16.76
 202010032300    26.13    58.17    62.86    16.42
 202010040000    25.79    57.27    62.06    16.20
 202010040100    25.58    55.63    61.29    16.06
 202010040200    25.30    54.89    59.73    15.93
 202010040300    24.95    54.49    58.23    15.76
 202010040400    24.69    53.21    57.27    15.57
 202010040500    24.38    53.43    57.10    15.63
 202010040600    24.12    54.59    58.86    15.35
 202010040700    23.85    56.19    59.54    15.06
 202010040800    23.53    55.22    58.25    14.83
 202010040900    23.18    52.86    56.18    14.62
 202010041000    22.86    50.15    54.84    14.43
 202010041100    22.55    49.59    53.46    14.23
 202010041200    22.27    53.04    53.28    14.04
 202010041300    21.97    61.83    55.59    14.88
 202010041400    23.39    69.05    63.40    24.32
 202010041500    33.92    66.93    75.84    31.47
 202010041600    44.66    67.41    95.21    25.79
 202010041700    53.66    78.27   104.71    18.39
 202010041800    61.19    90.97   110.41    16.10
 202010041900    54.99    95.57   109.56    16.85
 202010042000    48.48    90.19   103.26    17.17
 202010042100    40.99    81.74   100.82    15.59
 202010042200    35.94    79.38    99.31    14.87
 202010042300    31.99    83.64    91.69    14.48
 202010050000    28.93    97.74    82.07    14.31
 202010050100    27.31    97.96    75.84    14.03
 202010050200    26.30    90.74    75.33    13.81
 202010050300    25.60    78.24    73.64    13.59
 202010050400    25.14    66.44    71.44    13.40
 202010050500    24.72    61.57    68.03    13.24
 202010050600    24.32    57.75    65.67    13.06
 202010050700    24.01    55.94    62.57    13.00
 202010050800    23.87    56.45    58.02    12.74
 202010050900    23.52    53.50    54.01    12.52
 202010051000    23.06    49.35    51.31    12.34
 202010051100    21.88    45.09    47.24    11.19
 202010051200    16.54    37.39    36.05     3.98
 202010051300    10.08    22.48    22.22     0.36
 202010051400     5.96    10.91    10.38     0.03
 202010051500     3.17     5.25     5.84     0.00
 202010051600     1.99     2.14     2.98     0.00
 202010051700     0.97     0.73     1.64     0.00
 202010051800     0.49     0.04     1.08     0.00
 202010051900     0.27     0.00     0.56     0.00
 202010052000     0.04     0.00     0.24     0.00
 202010052100     0.00     0.00     0.22     0.00
 202010052200     0.00     0.00     0.00     0.00
 202010052300     0.00     0.00     0.00     0.00
 202010060000     0.00     0.00     0.00     0.00
 202010060100     0.00     0.00     0.00     0.00
