 aaaammgghhpp  ARGE00   ARME00   ARRE00   AVET00   BOAT00   CARA00   CAST00   CERU00   CERV00   ERRO00   IMPE00   LEIR00   LERO00   LETI00   MARE00   MERETA   MERU00   MOLIBR   NERV00   PANESI   POLC00   PORA00   POSARA   POSLEV   PRIN00   QUIL00   RECC00   ROSSIG   SCIU00   SEGN00   SLOR00   TANA00   TEIR00   TIGLIE   VARA00   VCRO00   SANS00   CHIA00   BISA00   STRL00   NRVI00   SORI00   RUPI00   GHIA00   AMEF00   TREB00   CRIXIA   CENGIO   VARPEG 
 202010010000     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.02     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00
 202010010100     0.00     0.00     0.00     0.00     0.03     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.11     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00
 202010010200     0.00     0.00     0.00     0.00     0.04     0.00     0.00     0.00     0.00     0.00     0.00     0.11     0.00     0.01     0.00     0.10     0.00     0.00     0.00     0.18     0.20     0.00     0.00     0.00     0.00     0.00     0.00     0.01     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.06     0.15     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00
 202010010300     0.00     0.00     0.00     0.03     0.05     0.00     0.00     0.00     0.00     0.00     0.00     0.19     0.05     0.03     0.00     0.52     0.00     0.00     0.00     0.37     0.51     0.00     0.00     0.00     0.00     0.00     0.00     0.06     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.19     0.40     0.00     0.00     0.00     0.00     0.00     0.05     0.00     0.00     0.00     0.06
 202010010400     0.00     0.00     0.00     0.11     0.21     0.00     0.00     0.05     0.00     0.00     0.00     0.44     0.14     0.06     0.00     1.22     0.00     0.00     0.00     0.59     1.03     0.00     0.04     0.00     0.00     0.00     0.00     0.10     0.00     0.00     0.00     0.00     0.01     0.00     0.00     0.00     0.00     0.27     0.61     0.04     0.05     0.00     0.02     0.00     0.12     0.07     0.00     0.00     0.26
 202010010500     0.00     0.00     0.00     0.60     0.32     0.00     0.00     0.23     0.00     0.01     0.00     0.67     0.51     0.06     0.00     1.97     0.00     0.00     0.00     0.87     1.58     0.00     0.04     0.00     0.00     0.00     0.06     0.22     0.00     0.00     0.00     0.00     0.03     0.00     0.00     0.00     0.00     0.35     0.85     0.11     0.15     0.00     0.07     0.00     0.29     0.52     0.00     0.00     0.60
 202010010600     0.00     0.00     0.00     1.82     0.47     0.00     0.00     0.36     0.00     0.01     0.00     0.96     0.70     0.06     0.00     3.14     0.00     0.00     0.00     1.65     2.39     0.00     0.06     0.00     0.00     0.01     0.22     0.48     0.00     0.02     0.00     0.00     0.04     0.00     0.00     0.00     0.00     0.67     1.25     0.17     0.16     0.02     0.07     0.00     0.46     1.44     0.00     0.00     0.76
 202010010700     0.00     0.00     0.00     3.97     0.64     0.00     0.00     0.56     0.00     0.01     0.00     1.22     0.92     0.06     0.00     5.46     0.00     0.00     0.00     2.35     3.02     0.00     0.13     0.00     0.00     0.01     0.36     0.71     0.00     0.02     0.00     0.00     0.04     0.00     0.00     0.00     0.00     0.77     1.65     0.21     0.19     0.06     0.07     0.00     0.64     2.92     0.00     0.00     1.07
 202010010800     0.00     0.00     0.00     5.35     0.84     0.00     0.00     0.74     0.00     0.02     0.00     1.44     1.17     0.06     0.00     8.14     0.00     0.00     0.00     3.32     3.60     0.00     0.17     0.00     0.00     0.01     0.55     0.93     0.00     0.02     0.00     0.00     0.04     0.00     0.00     0.00     0.00     0.84     2.07     0.27     0.20     0.06     0.07     0.00     0.91     4.60     0.00     0.00     1.37
 202010010900     0.00     0.00     0.00     7.67     0.90     0.00     0.00     0.86     0.00     0.02     0.00     1.62     1.33     0.06     0.00    11.19     0.00     0.00     0.00     3.90     4.39     0.00     0.23     0.00     0.00     0.01     0.70     1.14     0.00     0.02     0.00     0.00     0.05     0.00     0.00     0.00     0.00     0.94     2.68     0.30     0.23     0.10     0.07     0.00     1.15     6.40     0.00     0.00     1.63
 202010011000     0.00     0.00     0.00     9.54     0.95     0.00     0.00     1.02     0.00     0.02     0.00     1.74     1.62     0.06     0.00    14.87     0.00     0.00     0.00     4.48     4.82     0.00     0.26     0.02     0.00     0.01     0.80     1.45     0.00     0.02     0.00     0.00     0.06     0.00     0.00     0.00     0.00     0.99     3.27     0.31     0.33     0.12     0.09     0.00     1.32     8.88     0.00     0.00     1.77
