 aaaammgghhpp  FERRAN   ARGE01   CALAMA   LAPRES   NERVBU   PBATTO   STUR00   IMPTRE   ARRO01   PENNEV   ACQULE   SECCPO   PONTEX   LAVA01   TREB01   SCRBUS   CARCAR 
 202010010000     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00
 202010010100     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.05     0.00     0.00     0.02     0.00
 202010010200     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.15     0.00     0.12     0.00     0.04     0.12     0.00
 202010010300     0.00     0.00     0.08     0.01     0.00     0.00     0.00     0.00     0.00     0.00     0.24     0.06     0.29     0.00     0.08     0.39     0.00
 202010010400     0.00     0.00     0.22     0.21     0.00     0.00     0.00     0.00     0.00     0.00     0.31     0.33     0.37     0.08     0.15     0.55     0.00
 202010010500     0.00     0.00     0.31     0.28     0.00     0.00     0.00     0.00     0.00     0.00     0.48     0.70     0.61     0.13     0.29     0.70     0.00
 202010010600     0.00     0.00     0.47     0.53     0.00     0.00     0.06     0.00     0.00     0.00     0.59     0.86     1.00     0.18     0.74     1.53     0.00
 202010010700     0.00     0.00     0.55     0.79     0.00     0.00     0.15     0.00     0.00     0.00     0.68     1.01     1.24     0.31     1.24     3.35     0.00
 202010010800     0.00     0.00     0.63     1.06     0.00     0.03     0.20     0.00     0.00     0.00     0.86     1.28     1.64     0.45     1.97     5.05     0.00
 202010010900     0.00     0.00     0.69     1.16     0.00     0.08     0.36     0.00     0.00     0.00     0.89     1.40     1.94     0.56     2.48     6.64     0.00
 202010011000     0.00     0.00     0.68     1.46     0.00     0.11     0.39     0.00     0.00     0.00     0.96     1.48     2.17     0.80     2.93     7.86     0.00
 202010011100     0.00     0.00     0.72     1.73     0.00     0.11     0.48     0.00     0.00     0.00     1.16     1.58     2.37     0.88     3.36     9.57     0.00
 202010011200     0.00     0.00     0.71     1.89     0.00     0.14     0.58     0.00     0.00     0.00     1.34     1.64     2.59     0.98     4.00    11.40     0.00
 202010011300     0.00     0.00     0.74     1.95     0.00     0.18     0.73     0.00     0.00     0.00     1.40     1.69     2.88     1.10     4.35    12.54     0.00
 202010011400     0.00     0.00     0.77     2.07     0.00     0.22     0.75     0.00     0.00     0.00     1.51     1.71     3.02     1.20     4.69    13.45     0.00
 202010011500     0.00     0.00     0.76     2.14     0.00     0.30     0.87     0.00     0.00     0.00     1.52     1.77     3.07     1.33     5.03    14.12     0.00
 202010011600     0.00     0.00     0.75     2.28     0.00     0.41     0.94     0.00     0.00     0.00     1.54     1.79     3.28     1.40     5.22    14.69     0.00
 202010011700     0.00     0.00     0.73     2.36     0.00     0.45     0.99     0.00     0.00     0.00     1.55     1.83     3.42     1.50     5.48    15.10     0.00
 202010011800     0.00     0.00     0.72     2.42     0.00     0.51     1.37     0.00     0.00     0.00     1.58     1.85     3.43     1.75     5.78    15.61     0.00
 202010011900     0.00     0.00     0.71     2.63     0.00     0.57     1.76     0.00     0.00     0.00     1.58     2.26     3.55     2.92     5.97    15.97     0.00
 202010012000     0.00     0.00     0.70     4.19     0.00     0.57     2.53     0.00     0.00     0.00     1.59     4.57     4.16     4.69    10.33    17.77     0.00
 202010012100     0.00     0.00     0.97     4.70     0.00     0.66     4.25     0.00     0.00     0.00     1.57     8.26     6.23     7.70    16.09    25.53     0.00
 202010012200     0.00     0.00     2.45     9.46     0.00     0.92     8.31     0.00     0.00     0.00     1.57     8.60    10.26    11.18    27.89    44.98     0.00
 202010012300     0.00     0.00     5.58    10.79     0.00     1.36    19.27     0.00     0.00     0.00     1.57     7.84     8.92    11.23    49.46    52.40     0.00
 202010020000     0.00     0.00     9.46    11.91     0.00     2.56    18.68     0.00     0.00     0.00     1.70     8.67     9.16    15.65    67.71    79.76     0.00
 202010020100     0.00     0.00    11.73    22.68     0.00     3.42    21.79     0.00     0.00     0.00     1.90    10.11    12.51    21.61    81.58   108.72     0.00
 202010020200     0.00     0.00    24.84    38.48     0.00     4.78    33.85     0.00     0.00     0.00     1.94    11.26    15.67    44.52    97.99   121.97     0.00
 202010020300     0.00     0.00    28.88    34.28     0.00     8.76   118.80     0.00     0.00     0.00     1.79     8.84    12.33   144.69   102.69   130.64     0.00
 202010020400     0.00     0.00    32.95    22.51     0.01    18.42   301.89     0.00     0.00     0.00     1.67     7.99     9.74   247.65    85.38   123.47     0.00
 202010020500     0.00     0.00    38.61    12.25     0.03    35.41   371.27     0.00     0.00     0.00     1.61     7.39     8.54   209.75    60.35   105.22     0.00
 202010020600     0.00     0.00    42.06     9.11     0.08    57.51   310.84     0.00     0.00     0.00     1.65     7.11     8.20   141.34    45.76    83.01     0.00
 202010020700     0.00     0.00    44.43    19.12     0.88    97.99   228.92     0.00     0.00     0.00     5.71    14.89    10.35    89.60    59.24    73.78     0.00
 202010020800     0.00     0.11    57.90    41.04     2.70   256.11   212.78     0.00     0.17     0.00     9.92    28.83    36.99   128.79   133.53    92.26     0.04
 202010020900     0.20     0.58    93.24    47.78     3.30   571.25   239.97     0.15     0.12     0.01     8.33    27.43    42.12   246.80   212.04   137.68     0.43
 202010021000     0.73     3.52   113.36    35.04     1.82   629.45   216.78     0.61     0.08     0.32     5.92    19.62    30.07   333.74   185.40   183.50     0.81
 202010021100     0.16     2.65   118.36    21.36     0.32   490.91   158.15     0.68     0.64     0.60     5.82    17.15    20.72   272.54   139.64   209.76     0.30
 202010021200     0.18     1.08   116.99    12.32     0.09   360.85   103.26     0.71     2.05     0.31     6.43    14.56    18.08   150.20    99.00   169.28     0.19
 202010021300     0.52     0.03   120.10    10.24     0.31   253.90    65.60     0.47     3.90     0.82     6.05    13.06    19.04    85.56    65.93   120.15     0.39
 202010021400     0.26     1.76   126.52     9.64     0.50   191.44    50.53     0.13    13.80     1.86     4.94    11.71    20.36    59.57    49.36    88.31     0.19
 202010021500     0.12    14.12   130.90     9.46     0.95   145.93    45.09     0.03    29.03     3.74     4.25    11.88    17.19    50.42    46.01    73.50     0.12
 202010021600     0.27    16.02   133.39    12.72     1.28   121.69    41.79     0.07    36.84     2.81     4.56    14.95    20.95    48.92    39.60    67.38     0.14
 202010021700     0.09    41.41   154.67    17.73     1.73   109.86    39.89     0.07    57.67     2.74     9.82    20.93    28.82    47.93    40.99    70.77     0.10
 202010021800     0.15    54.38   189.94    18.42     3.17   108.73    38.86     0.15    81.12     2.93    11.99    26.46    45.73    53.19    46.25    94.66     0.16
 202010021900     0.32   115.17   210.34    14.54    10.98   121.37    37.76     0.48   118.29     5.21     8.41    20.30    40.00    63.73    38.30   116.97     0.45
 202010022000     1.09   210.05   212.57    11.92    19.19   136.43    35.90     0.68   198.79     9.21     8.08    19.69    33.47    61.67    34.19   113.04     1.65
 202010022100     1.77   336.23   213.87    11.52    35.94   121.60    35.17     1.07   280.99    17.03     9.67    18.77    26.45    53.39    29.90    94.50     3.27
 202010022200     2.59   401.62   209.44    11.90    51.80   118.14    36.40     2.82   320.07    27.65     9.71    18.96    28.39    51.01    27.81    79.37     4.68
 202010022300     3.04   526.03   198.61    10.88    49.85   126.19    37.93     9.36   423.41    47.37     7.13    17.54    26.05    52.30    29.16    72.39     7.77
 202010030000     4.46   642.33   181.16     9.83    38.77   123.03    36.78    18.50   473.31    87.54     5.66    17.66    23.04    52.74    27.78    70.19    13.45
 202010030100     8.20   560.32   173.94     9.19    24.03   117.02    35.68    25.61   417.61   106.22     6.19    17.09    19.76    50.42    27.80    68.29    22.28
 202010030200    13.89   338.25   171.04    14.84    14.52   117.42    35.48    25.43   265.26    93.76    10.43    20.81    20.83    49.53    35.20    70.76    33.48
 202010030300    11.69   161.66   162.00    28.50    12.38   116.05    43.85    20.37   148.96    60.09    12.99    30.41    49.48    58.19    76.57    88.18    27.83
 202010030400    10.24   109.13   163.63    36.51    11.82   116.79    88.13    16.59    87.74    34.31     8.73    29.26    49.55   108.42    97.47   136.44    20.61
 202010030500     9.85   120.94   191.31    31.65     9.64   134.82   135.83    13.66    81.27    27.59     6.77    24.99    38.64   167.57    96.78   182.81    17.10
 202010030600    10.19   109.11   248.99    27.17     4.58   159.50   159.89    10.46    67.59    28.43     4.15    23.91    32.25   173.79    92.92   185.31    15.16
 202010030700     8.03    61.72   322.85    12.96     2.34   190.25   125.26     5.88    34.73    17.97     1.34    14.44    14.40   145.90    55.71   169.54    11.50
 202010030800     4.61    19.16   348.20     5.65     0.91   234.41    65.19     2.69    15.77     6.38     0.62     8.39     7.32    95.80    33.68   114.62     6.70
 202010030900     2.61     4.53   277.67     1.07     0.39   254.16    30.36     1.13     4.07     2.07     0.14     4.16     2.14    38.15    18.76    65.98     3.28
 202010031000     1.63     0.77   158.60     0.13     0.13   196.54    11.57     0.33     0.63     0.25     0.01     2.34     0.68    12.59     9.32    31.76     1.21
 202010031100     0.69     0.02    78.27     0.00     0.00   119.45     3.88     0.04     0.06     0.00     0.00     0.68     0.18     3.26     5.51    13.14     0.21
 202010031200     0.16     0.00    33.65     0.00     0.00    63.62     1.03     0.00     0.00     0.00     0.00     0.04     0.00     0.01     2.85     5.52     0.00
 202010031300     0.00     0.00    12.28     0.00     0.00    33.32     0.39     0.00     0.00     0.00     0.00     0.00     0.00     0.00     1.72     1.73     0.00
 202010031400     0.00     0.00     4.53     0.00     0.00    13.73     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.86     0.36     0.00
 202010031500     0.00     0.00     1.79     0.00     0.00     5.50     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.46     0.00     0.00
 202010031600     0.00     0.00     0.53     0.00     0.00     2.13     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00
 202010031700     0.00     0.00     0.03     0.00     0.00     0.58     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00
 202010031800     0.00     0.00     0.00     0.00     0.00     0.10     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00
 202010031900     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00
 202010032000     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00
 202010032100     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00
