 aaaammgghhpp  AULSOL   NASCET   SCRMON 
 202010030000     0.00     0.00     0.00
 202010030100     0.00     0.00     0.00
 202010030200     0.05     0.15     0.00
 202010030300     0.22     1.48     1.93
 202010030400     0.27     7.21     7.58
 202010030500     0.82    27.38    16.97
 202010030600     2.84    59.01    36.51
 202010030700     4.87    91.52    68.85
 202010030800    11.86   132.52    77.12
 202010030900    21.12   154.84    68.65
 202010031000    25.89   154.58    53.60
 202010031100    23.38   146.64    40.72
 202010031200    17.79   129.71    31.70
 202010031300    14.50   112.60    26.25
 202010031400    10.99    97.78    22.27
 202010031500    10.02    88.37    19.96
 202010031600     9.39    82.18    18.71
 202010031700     9.16    78.25    18.18
 202010031800     8.91    75.61    17.82
 202010031900     8.94    73.69    17.50
 202010032000     9.43    71.97    17.63
 202010032100    11.72    70.98    18.26
 202010032200    16.00    71.81    17.50
 202010032300    29.35    74.94    16.71
 202010040000    53.99    72.61    16.27
 202010040100    57.67    68.72    15.86
 202010040200    53.62    65.79    15.46
 202010040300    38.81    63.46    15.11
 202010040400    31.15    61.64    15.06
 202010040500    27.97    59.94    15.32
 202010040600    26.89    59.52    14.94
 202010040700    26.84    60.06    14.39
 202010040800    26.54    58.63    14.03
 202010040900    24.71    56.94    13.70
 202010041000    24.07    55.14    13.38
 202010041100    23.81    54.06    13.10
 202010041200    24.45    56.72    12.86
 202010041300    31.10    62.28    16.70
 202010041400    42.07    68.60    23.64
 202010041500    31.56    61.51    25.78
 202010041600    28.38    59.83    28.37
 202010041700    30.63    65.48    33.97
 202010041800    44.12    75.59    32.34
 202010041900    58.40    74.40    26.76
 202010042000    63.28    74.03    23.36
 202010042100    77.21    70.60    21.04
 202010042200    66.84    67.45    18.33
 202010042300    66.91    64.24    17.99
 202010050000    56.05    62.79    19.89
 202010050100    49.03    58.03    18.11
 202010050200    49.93    53.48    17.74
 202010050300    66.26    50.88    17.84
 202010050400    71.74    47.07    12.85
 202010050500    42.62    36.90     5.80
 202010050600    16.20    16.51     3.02
 202010050700     5.46     7.00     1.53
 202010050800     1.37     3.15     0.66
 202010050900     0.40     1.09     0.20
 202010051000     0.07     0.51     0.05
 202010051100     0.01     0.14     0.00
 202010051200     0.00     0.02     0.00
 202010051300     0.00     0.00     0.00
 202010051400     0.00     0.00     0.00
